PRATASABA RESORT,,,,,,,,,
Fixed Asset List,,,,,,,,,
Asset Code,Asset Name,Asset Type Name,Asset Account,Asset Cost,Usage Date,Purchase Date,Estimated Life,% Depr Rate,Depreciation Method
PAA-0045,O-Ring (GOL.23031-DC),Equipment,1400600.0,279000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0046,"Exhaust Valve Round, Grey (GOL.23031-DC)",Equipment,1400600.0,1305000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0047,Kabel Extension 30m - Pantai (GOL.23043-CME),Other Inventory,1400600.0,648000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0048,Gelas Bening Kaca KIG Pht-07 H.08 (GOL.23056-FO),Other Inventory,1400800.0,465000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0049,Gelas Bir Kaca Arcoroc Granity 27cl (GOL.23056-FO),Other Inventory,1400800.0,240000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0050,Gelas Jus (GOL.23010-KIT),Other Inventory,1400800.0,280000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0051,"Piring Makan Indokramik 10,5"" (GOL.23056-FO)",Other Inventory,1400800.0,500000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0052,Sendok Makan Paris (GOL.23056-FO),Other Inventory,1400800.0,240000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0053,Tea Set Putih Polos (GOL.23058-FO),Other Inventory,1400800.0,1120000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0054,"Piring Ceper BNB Keramindo 8"" (GOL.23056-FO)",Other Inventory,1400800.0,700000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0055,"Gelas Mini (GOL.23058-FO, utk lilin sumbu)",Other Inventory,1400800.0,50000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0056,Baby Chair (GOL.22235-FO),Equipment,1400600.0,400000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0057,AC 1 PK - Meeting Hall (GOL.23046-CME),Equipment,1400600.0,3500000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0058,"AC 1,5 PK - Chiller Kitchen (GOL.23046-CME)",Equipment,1400600.0,5400000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0059,Kabel Extension 50m - MH (GOL.23067-CME),Other Inventory,1400600.0,650000.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0060,"Taplak Meja Putih - Stretch Rectangle Table Cover 152 (GOL.23065-FO, utk MH)",Other Inventory,1400800.0,160300.0,28 Feb 2023,28 Feb 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0061,Keset Bathmat Tarve White 50x70cm (GOL.22438-HK),Other Inventory,1400700.0,545000.0,31 Mar 2023,31 Mar 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0062,Placemat PVC / Tatakan Piring Modern Style (GOL.23079-FO),Other Inventory,1400800.0,1020000.0,30 Apr 2023,30 Apr 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0063,Taplak Meja Maroon (GOL.23056-FO),Other Inventory,1400800.0,675000.0,30 Apr 2023,30 Apr 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0064,Pot Bunga Set (GOL.23117-FO),Other Inventory,1400700.0,525480.0,30 Apr 2023,30 Apr 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0065,Dining Chair Dudukan Kayu Jati - Blue Natural,Furniture,1400900.0,10860000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0066,Dining Table S uk. 60x60x75 - Natural,Furniture,1400900.0,5874000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0067,Sofa Kayu Jati uk. 120x60x45 - Natural,Furniture,1400900.0,20800000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0068,Dining Table L uk. 120x60x75 - Natural ,Furniture,1400900.0,3400000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0069,Taplak Meja BBQ Putih (GOL.23079-FO),Other Inventory,1400800.0,1049500.0,30 Apr 2023,30 Apr 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0070,CCTV Resort + Material Kelengkapan (GOL.23075-HK),Equipment,1400600.0,8247152.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0071,MI LED TV A2 32 inch - CCTV Resort (GOL.23075-HK),Equipment,1400600.0,2100000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0072,UPS Prolink PRO700SFC - CCTV Resort (GOL.23075-HK),Equipment,1400600.0,650000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0073,Speedboat 2 mesin Yamaha F200BETX - Fiber Glass ,Ship,1400300.0,681847500.0,30 Apr 2023,30 Apr 2023,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0074,"Dapra Kapsul F1 - 15,2 x 61,0 - White",Equipment,1400600.0,3918000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0075,1 set Keyboard + Mouse HP 150 Kabel (GOL.23105-FO),Equipment,1400600.0,175000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0076,Adaptor charger laptop ASUS 19V-3.42A (GOL.23105-FO),Equipment,1400600.0,160000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0077,Ring Bouy Fiber (GOL.23113-DC),Equipment,1400600.0,325000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0078,APAR Powder 3kg (GOL.23113-DC),Equipment,1400600.0,335000.0,30 Apr 2023,30 Apr 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0079,Tray Rect uk. 30.5x41cm + Tray Round uk. 40.5x2.5cm (GOL.23155-FO),Other Inventory,1400800.0,156100.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0080,Keranjang / Container (GOL.23148-FO),Other Inventory,1400800.0,587000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0081,"Wajan Stainless, Loyang Kotak, Jepitan (GOL.23052, 23059-Kitchen)",Other Inventory,1400800.0,225000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0082,Pita Kursi Putih (GOL.23079-FO),Other Inventory,1400700.0,950000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0083,Tray Round uk. 25cm utk Kunci Kamar (GOL.23157-FO),Other Inventory,1400700.0,50000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0084,Gerobak Arco (GOL.23184-DC),Other Inventory,1400600.0,640000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0085,Gelas Coffee Maker Room Saroja (GOL.23175-HK),Other Inventory,1400700.0,60000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0086,Whiteboard uk. 60x90 (GOL.23160-CME),Other Inventory,1400600.0,150000.0,31 May 2023,31 May 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0087,Standing Fan (GOL.23142-FO),Equipment,1400600.0,465000.0,31 May 2023,31 May 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0088,Pompa Otomatis Oli utk SB Diving Prata New (GOL.23132-DC),Equipment,1400600.0,1380000.0,31 May 2023,31 May 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0089,Baofeng BF-8885 HT UHF Walkie Talkie utk Security (GOL.23126-GA),Equipment,1400600.0,185000.0,31 May 2023,31 May 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0090,Accu Mark Yuasa 100A utk Genset Perkins (GOL.23153-CME),Machinery,1400500.0,1600000.0,31 May 2023,31 May 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0091,Dipan Extra Bed,Furniture,1400900.0,490000.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0092,Life Vest tanpa Headrest + Bordir Punggung (GOL.23169-DC),Equipment,1400600.0,6330000.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0093,Bowl Kitchen Sink Lavenia utk Meja Barista (GOL.23207-CME),Equipment,1400600.0,2091900.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0094,Kran Sink Paloma Jupiter utk Meja Barista (GOL.23207-CME),Equipment,1400600.0,585000.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0095,Handuk Trip Bath Sheet Solid Gray uk. 85x160 (GOL.23055-HK),Other Inventory,1400700.0,3528681.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0096,Gantungan Handuk Kayu utk C6 (GOL.23159-HK),Furniture,1400900.0,1500000.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0097,Setrika Iron Dry NK999s utk Stock Tamu Pinjam (GOL.23235-HK),Equipment,1400600.0,230000.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0098,Napkin Gold (GOL.23155-FO),Other Inventory,1400800.0,787320.0,30 Jun 2023,30 Jun 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0099,Sendok Lauk Meals Bufet (GOL.23073-KIT),Other Inventory,1400800.0,180000.0,30 Jun 2023,30 Jun 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0100,Meja Mini Bar Resort (004/SPK-PRATASABA/DNC/VI/2023),Equipment,1400800.0,26000000.0,30 Jun 2023,30 Jun 2023,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0101,Timbangan Digital Proquip 30 kg TDS-30 (GOL.23078-KIT),Equipment,1400600.0,435000.0,30 Jun 2023,30 Jun 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0102,OTG & USB HUB (GOL>23125-FO),Other Inventory,1400600.0,234900.0,30 Jun 2023,30 Jun 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0103,Portable NX Audio Speaker BT.1515 BWR (GOL.23238-FO),Equipment,1400600.0,5200000.0,31 Jul 2023,31 Jul 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0104,Biofill BF03 utk Resto (GOL.23250-CME),Equipment,1400600.0,4480000.0,31 Jul 2023,31 Jul 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0105,Taplak Meja BBQ Putih (GOL.23257-FO),Other Inventory,1400800.0,1490000.0,31 Jul 2023,31 Jul 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0106,Keset Door Mat 45x75 cm GRY PVCASM457 utk Saroja Room (GOL.23271-HO),Other Inventory,1400700.0,509400.0,31 Jul 2023,31 Jul 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0107,"Perlengkapan Kitchen & Gelas DC (GOL.23188-DC; 23073, 23083, 23087-Kitchen)",Other Inventory,1400800.0,2365000.0,03 Aug 2023,31 Jul 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0108,Pompa Otomatis Shimizu (GOL.23248-CME),Equipment,1400600.0,660000.0,31 Aug 2023,31 Aug 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0109,Pillow Case Cotton 100% Putih Polos 200TC uk. 50x72 (GOL.23271-HO),Other Inventory,1400700.0,1875000.0,31 Aug 2023,31 Aug 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0110,Gorden uk. 140x200 Cream utk Floating Meeting (GOL.23271-HO),Other Inventory,1400700.0,760000.0,31 Aug 2023,31 Aug 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0111,Tempat Sampah Semar 40 lt Taiwan utk Seheku (GOL.23260-HK),Other Inventory,1400700.0,225000.0,31 Aug 2023,31 Aug 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0112,Cermin uk. 180x70 utk Room C6 (GOL.23267-CME),Furniture,1400900.0,2400000.0,31 Aug 2023,31 Aug 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0113,Teflon Telur & Fry Pan Mini Valentino (GOL.23100-Kitchen),Other Inventory,1400800.0,220000.0,31 Aug 2023,31 Aug 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0114,PC Rakit utk Resort (GOL.23271-HO),Equipment,1400600.0,2813801.0,30 Sep 2023,30 Sep 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0115,UPS ICA CV-700 utk PC Resort (GOL.23271-HO),Equipment,1400600.0,950000.0,30 Sep 2023,30 Sep 2023,2 Yr 0 Mth,50.0,Straight Line Method
PAA-0116,Perlengkapan Prata Coffee,Other Inventory,1401000.0,2158650.0,30 Sep 2023,30 Sep 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0117,Premium Cocktail Shaker Set 11 in 1,Other Inventory,1401000.0,480000.0,30 Sep 2023,30 Sep 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0118,Ferratti Ferro Coffee Espresso Machine FCM-3121A Brazzio,Equipment,1401000.0,17454026.0,30 Sep 2023,30 Sep 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0119,Ferratti Ferro Automatic Coffee Grinder Heavy Duty FGM-600AD,Equipment,1401000.0,6060000.0,30 Sep 2023,30 Sep 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0120,Blender Hamilton Beach No.58151,Equipment,1401000.0,899450.0,30 Sep 2023,30 Sep 2023,2 Yr 0 Mth,50.0,Straight Line Method
PAA-0121,Brewista Artisan Gooseneck Kettle 600ml Pure Wihte,Equipment,1401000.0,1560000.0,30 Sep 2023,30 Sep 2023,2 Yr 0 Mth,50.0,Straight Line Method
PAA-0122,Latina Libra T60 Coffee Grinder Machine Electric - Putih,Equipment,1401000.0,1730000.0,30 Sep 2023,30 Sep 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0123,MS Stabilizer AVR-1000w - Prata Coffee (GOL.23313-CME),Equipment,1401000.0,497000.0,30 Sep 2023,30 Sep 2023,2 Yr 0 Mth,50.0,Straight Line Method
PAA-0124,Stavolt 500w - Ice Cube Prata Coffee (GOL.23321-CME),Equipment,1401000.0,480000.0,30 Sep 2023,30 Sep 2023,2 Yr 0 Mth,50.0,Straight Line Method
PAA-0125,Perlengkapan Kitchen (GOL.23105-Kitchen),Other Inventory,1400800.0,1505000.0,30 Sep 2023,30 Sep 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0126,Bantal Yobel/Busa - Mess Karyawan (GOL.23312-HK),Other Inventory,1400700.0,550000.0,30 Sep 2023,30 Sep 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0127,Mixer La Coste Signora + RSP (GOL.23105-Kitchen),Equipment,1400800.0,2080000.0,30 Sep 2023,30 Sep 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0128,Oven Elpiji Stainless 12060 (GOL.23105-Kitchen),Equipment,1400800.0,5700000.0,30 Sep 2023,30 Sep 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0129,Milk Jug Kakagear Aretisan Rafael 350ml Latte Art,Other Inventory,1401000.0,550000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0130,Tabung APAR 6 kg (GOL.23310-CME),Other Inventory,1400600.0,1650000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0131,Gelas - Prata Coffee,Other Inventory,1401000.0,1499100.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0132,Pompa Sanyo PH.175 - Penampungan Air Seheku (GOL.23348-CME),Machinery,1400500.0,2830000.0,31 Oct 2023,31 Oct 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0133,LCD Projector Infocus IN114AA - Meeting Hall (GOL.23271-HO),Equipment,1400600.0,5250000.0,31 Oct 2023,31 Oct 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0134,Exhaust Fan Panasonic FR30 Run 5 Wall - Ruang Kompressor (GOL.23327-CME),Equipment,1400600.0,1178000.0,31 Oct 2023,31 Oct 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0135,Wastafel - Pantai (GOL.23346-CME),Equipment,1400600.0,750000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0136,Panel Listrik Resort (020/SPK-PRATASABA/DNC/X/2023),Equipment,1400600.0,16704000.0,31 Oct 2023,31 Oct 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0137,Wajan Stainless & Baja - Kitchen (GOL.23120-Kitchen),Other Inventory,1400800.0,495000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0138,"Flatsheet Single Cotton 100% Kotak 9cm Putih, 220TC uk. 220x280 - kasur 120x200 (GOL.23271-HO)",Other Inventory,1400700.0,10200000.0,31 Oct 2023,31 Oct 2023,2 Yr 0 Mth,50.0,Straight Line Method
PAA-0139,Taplak Meja Buffet Rampel Maroon & Grey (GOL.23289-FO),Other Inventory,1400800.0,2606000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0140,Dinner Plate - Kitchen (GOL.23105-Kitchen),Other Inventory,1400800.0,850000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0141,Gelas Bening Tinggi Kedaung 212N - 5 lusin + Pitcher Eskan Kedaung WJ-1500C Polos - 4 pcs (GOL.23117-Kitchen),Other Inventory,1400800.0,405000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0142,Tempat Tissue Rajawali Pinus (GOL.23308-FO),Other Inventory,1400800.0,1380000.0,31 Oct 2023,31 Oct 2023,1 Yr 0 Mth,100.0,Straight Line Method
PAA-0143,Juicer Subron 8 Liter JD-8L/JVS-B (GOL.23117-Kitchen),Other Inventory,1400800.0,1240000.0,31 Oct 2023,31 Oct 2023,2 Yr 0 Mth,50.0,Straight Line Method
